,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Amount_Term,Credit_History,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Dependents_nan,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
28,1442,0.0,35.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
29,3750,2083.0,120.0,360.0,1.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
30,4166,3369.0,201.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
31,3167,0.0,74.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
32,4692,0.0,106.0,360.0,1.0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0
33,3500,1667.0,114.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
34,12500,3000.0,320.0,360.0,1.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0
35,2275,2067.0,154.06021505376344,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
36,1828,1330.0,100.0,360.0,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
37,3667,1459.0,144.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
38,4166,7210.0,184.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
39,3748,1668.0,110.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0
40,3600,0.0,80.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
41,1800,1213.0,47.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
42,2400,0.0,75.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
43,3941,2336.0,134.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
44,4695,0.0,96.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1
45,3410,0.0,88.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
46,5649,0.0,44.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
47,5821,0.0,144.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
48,2645,3440.0,120.0,360.0,0.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
49,4000,2275.0,144.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
50,1928,1644.0,100.0,360.0,1.0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
51,3086,0.0,120.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
52,4230,0.0,112.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
53,4616,0.0,134.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
54,11500,0.0,286.0,360.0,0.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
55,2708,1167.0,97.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
56,2132,1591.0,96.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
57,3366,2200.0,135.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
58,8080,2250.0,180.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
59,3357,2859.0,144.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
60,2500,3796.0,120.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
61,3029,0.0,99.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
62,2609,3449.0,165.0,180.0,0.0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0
63,4945,0.0,154.06021505376344,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
64,4166,0.0,116.0,360.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
65,5726,4595.0,258.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
66,3200,2254.0,126.0,180.0,0.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
67,10750,0.0,312.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
68,7100,0.0,125.0,60.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1
69,4300,0.0,136.0,360.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
70,3208,3066.0,172.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
71,1875,1875.0,97.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
72,3500,0.0,81.0,300.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
73,4755,0.0,95.0,360.0,0.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
74,5266,1774.0,187.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
75,3750,0.0,113.0,480.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
76,3750,4750.0,176.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
77,1000,3022.0,110.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
78,3167,4000.0,180.0,300.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
79,3333,2166.0,130.0,360.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
80,3846,0.0,111.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
81,2395,0.0,154.06021505376344,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
82,1378,1881.0,167.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
83,6000,2250.0,265.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
84,3988,0.0,50.0,240.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
85,2366,2531.0,136.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
86,3333,2000.0,99.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
87,2500,2118.0,104.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
88,8566,0.0,210.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
89,5695,4167.0,175.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
90,2958,2900.0,131.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
91,6250,5654.0,188.0,180.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
92,3273,1820.0,81.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
93,4133,0.0,122.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
94,3620,0.0,25.0,120.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0
95,6782,0.0,154.06021505376344,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
96,2484,2302.0,137.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
97,1977,997.0,50.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
98,4188,0.0,115.0,180.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
99,1759,3541.0,131.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
100,4288,3263.0,133.0,180.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1
101,4843,3806.0,151.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
102,13650,0.0,154.06021505376344,360.0,1.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
103,4652,3583.0,154.06021505376344,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
104,3816,754.0,160.0,360.0,1.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
105,3052,1030.0,100.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
106,11417,1126.0,225.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
107,7333,0.0,120.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
108,3800,3600.0,216.0,360.0,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
109,2071,754.0,94.0,480.0,1.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
110,5316,0.0,136.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
111,2929,2333.0,139.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
112,3572,4114.0,152.0,360.0,0.0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
113,7451,0.0,154.06021505376344,360.0,1.0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
114,5050,0.0,118.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
115,14583,0.0,185.0,180.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
116,3167,2283.0,154.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
117,2214,1398.0,85.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
118,5568,2142.0,175.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
119,10408,0.0,259.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
120,5667,2667.0,180.0,360.0,1.0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0
121,4166,0.0,44.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
122,2137,8980.0,137.0,360.0,0.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
123,2957,0.0,81.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
124,4300,2014.0,194.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
125,3692,0.0,93.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
126,23803,0.0,370.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0
127,3865,1640.0,154.06021505376344,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
128,10513,3850.0,160.0,180.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
129,6080,2569.0,182.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
130,20166,0.0,650.0,480.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
131,2014,1929.0,74.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
132,2718,0.0,70.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
133,3459,0.0,25.0,120.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
134,4895,0.0,102.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
135,4000,7750.0,290.0,360.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
136,4583,0.0,84.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
137,3316,3500.0,88.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
138,14999,0.0,242.0,360.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
139,4200,1430.0,129.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
140,5042,2083.0,185.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
141,5417,0.0,168.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
142,6950,0.0,175.0,180.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
143,2698,2034.0,122.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
144,11757,0.0,187.0,180.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
145,2330,4486.0,100.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
146,14866,0.0,70.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
147,1538,1425.0,30.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
148,10000,1666.0,225.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
149,4860,830.0,125.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
150,6277,0.0,118.0,360.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
151,2577,3750.0,152.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
152,9166,0.0,244.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
153,2281,0.0,113.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
154,3254,0.0,50.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
155,39999,0.0,600.0,180.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
156,6000,0.0,160.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
157,9538,0.0,187.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
158,2980,2083.0,120.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
159,4583,5625.0,255.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
160,1863,1041.0,98.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
161,7933,0.0,275.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
162,3089,1280.0,121.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
163,4167,1447.0,158.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
164,9323,0.0,75.0,180.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
165,3707,3166.0,182.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
166,4583,0.0,112.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
167,2439,3333.0,129.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
168,2237,0.0,63.0,480.0,0.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
169,8000,0.0,200.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
170,1820,1769.0,95.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0
171,51763,0.0,700.0,300.0,1.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
172,3522,0.0,81.0,180.0,1.0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0
173,5708,5625.0,187.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
174,4344,736.0,87.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
175,3497,1964.0,116.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
176,2045,1619.0,101.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
177,5516,11300.0,495.0,360.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
178,3750,0.0,116.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
179,2333,1451.0,102.0,480.0,0.0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
180,6400,7250.0,180.0,360.0,0.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1
181,1916,5063.0,67.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
182,4600,0.0,73.0,180.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
183,33846,0.0,260.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
184,3625,0.0,108.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
185,39147,4750.0,120.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0
186,2178,0.0,66.0,300.0,0.0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0
187,2383,2138.0,58.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
188,674,5296.0,168.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0
189,9328,0.0,188.0,180.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
190,4885,0.0,48.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
191,12000,0.0,164.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
192,6033,0.0,160.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1
193,3858,0.0,76.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
194,4191,0.0,120.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
195,3125,2583.0,170.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
196,8333,3750.0,187.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0
197,1907,2365.0,120.0,360.0,1.0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1
198,3416,2816.0,113.0,360.0,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
199,11000,0.0,83.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
200,2600,2500.0,90.0,360.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
201,4923,0.0,166.0,360.0,0.0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0
202,3992,0.0,118.40944881889764,180.0,1.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
203,3500,1083.0,135.0,360.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
204,3917,0.0,124.0,360.0,1.0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0
205,4408,0.0,120.0,360.0,1.0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
206,3244,0.0,80.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
207,3975,2531.0,55.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
208,2479,0.0,59.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
209,3418,0.0,127.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
210,10000,0.0,214.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
211,3430,1250.0,128.0,360.0,0.0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0
212,7787,0.0,240.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
213,5703,0.0,130.0,360.0,1.0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
214,3173,3021.0,137.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
215,3850,983.0,100.0,360.0,1.0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0
216,150,1800.0,135.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
217,3727,1775.0,131.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
218,5000,0.0,72.0,360.0,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
219,4283,2383.0,127.0,360.0,1.0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
220,2221,0.0,60.0,360.0,0.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
221,4009,1717.0,116.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
222,2971,2791.0,144.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
223,7578,1010.0,175.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
224,6250,0.0,128.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
225,3250,0.0,170.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
226,4735,0.0,138.0,360.0,1.0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1
227,6250,1695.0,210.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0
228,4758,0.0,158.0,480.0,1.0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0
229,6400,0.0,200.0,360.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0
230,2491,2054.0,104.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
231,3716,0.0,42.0,180.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0
232,3189,2598.0,120.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0
233,8333,0.0,280.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
234,3155,1779.0,140.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
235,5500,1260.0,170.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0
236,5746,0.0,255.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
237,3463,0.0,122.0,360.0,1.0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
238,3812,0.0,112.0,360.0,1.0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
239,3315,0.0,96.0,360.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
240,5819,5000.0,120.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
241,2510,1983.0,140.0,180.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
242,2965,5701.0,155.0,60.0,1.0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
243,6250,1300.0,108.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
244,3406,4417.0,123.0,360.0,1.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
245,6050,4333.0,120.0,180.0,1.0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1
246,9703,0.0,112.0,360.0,1.0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1
247,6608,0.0,137.0,180.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1
248,2882,1843.0,123.0,480.0,1.0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
249,1809,1868.0,90.0,360.0,1.0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1
250,1668,3890.0,201.0,360.0,0.0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0
251,3427,0.0,138.0,360.0,1.0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
252,2583,2167.0,104.0,360.0,1.0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0
253,2661,7101.0,279.0,180.0,1.0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
